id,date,tweet
1504327296437481474,2022-03-17 05:22:31+00:00,@LetsTalkMAC They’ll do the Ms. Marvel Civil War II arc but it’s about Kamala demanding Captain Marvel lay off NFTs. :p
1504268503825719297,2022-03-17 01:28:53+00:00,@LetsTalkMAC https://t.co/kBmgwQiw3W
1504267999921987590,2022-03-17 01:26:53+00:00,"@jackson271984 she just posted about metaverse, yeah"
1504267255214923776,2022-03-17 01:23:56+00:00,@LetsTalkMAC Goddamnit did she do it again
1504266882488098817,2022-03-17 01:22:27+00:00,Brie Larson continuing to sell herself for nft/metaverse bullcrap is overwhelmingly disappointing
1504200361841729546,2022-03-16 20:58:07+00:00,@LetsTalkMAC Oof
1504199628002054155,2022-03-16 20:55:12+00:00,Stories like this hit different when so much of the news cycle is people trying to eliminate queer people twitter.com/Newsarama/stat…
1504167347808055297,2022-03-16 18:46:56+00:00,"@fantastic_talk Oh yeah, that would make sense"
1504165600880386052,2022-03-16 18:39:59+00:00,@LetsTalkMAC She’s probably Julia Carpenter since she’s the second Madame Web. It seems like it’s going to be a team up movie between an older actress as Madame Web and a younger actress as Julia Carpenter. At least from what I’ve heard.
1504157993679659014,2022-03-16 18:09:46+00:00,Felicia maybe? Has she been cast on another Spider-man project that I'm forgetting about?
1504157423682174982,2022-03-16 18:07:30+00:00,"There's no way Sydney Sweeney is playing Gwen, right?"
1504144571047067662,2022-03-16 17:16:26+00:00,@zacwilson047 @dumitrelul @baarbaraluizaa @Robbie_Landis01 @laurence_burris @mistergeezy @AkkoGid12 @LetsTalkMAC @_Lexi517 @MyLifeAsJ @jiminbflo @test5geo1798 Im not gonna read this but I got a job offer right after you tagged me so thanks for that
1504113013779009538,2022-03-16 15:11:02+00:00,@AlligatorSky4 @LetsTalkMAC Don't get me wrong. I wish it was an ongoing. I don't think DC is ready for that
1504112594478673922,2022-03-16 15:09:22+00:00,@WorldOfTigra @LetsTalkMAC Ah my bad. I read “six-issue story arc” as them just mentioning the initial creative team for the first arc 😔
1504096926807040001,2022-03-16 14:07:06+00:00,"@AlligatorSky4 @LetsTalkMAC No, it's not an ongoing. It's a six issue. Miniseries"
1504088423191224321,2022-03-16 13:33:19+00:00,@WorldOfTigra @LetsTalkMAC They are giving Poison Ivy an ongoing… It was in the same press release.
1503861385511706625,2022-03-15 22:31:09+00:00,@LetsTalkMAC Sidenote tho America holding the lesbian flag can be something so personal :)
1503820383480385545,2022-03-15 19:48:13+00:00,"@LetsTalkMAC I mean--these characters are always gay, yes?"
1503814145027702786,2022-03-15 19:23:26+00:00,@LetsTalkMAC So good!
1503809852379963393,2022-03-15 19:06:22+00:00,@aloudernoise It's a variant for Thunderbolts #2 to celebrate pride
1503809151503265794,2022-03-15 19:03:35+00:00,@LetsTalkMAC Ooh! Where this one from?
1503782653975224322,2022-03-15 17:18:18+00:00,@OlhaAbanks https://t.co/XtOYstgS7c
1503781570624303104,2022-03-15 17:14:00+00:00,This is absolutely gorgeous https://t.co/Le5t2ryvJk
1503766203973705740,2022-03-15 16:12:56+00:00,@LetsTalkMAC say it louder!
1503756251615928320,2022-03-15 15:33:23+00:00,Her smile in this kinda reminds me of Aabria Iyengar https://t.co/W0ooaPkCEy
1503755751180972041,2022-03-15 15:31:24+00:00,"@LetsTalkMAC This is how I feel about all the people doing the victory dances over the DC pride One shots. You know what, you want me to believe you care, give poison ivy an ongoing.

This whole remembering characters exist right around pride month is getting a little old"
1503754621818396684,2022-03-15 15:26:54+00:00,@LetsTalkMAC Would make me love Kate even more.
1503754369136840718,2022-03-15 15:25:54+00:00,"@MarcQuill My money is on Rachel/Kate right now, yeah."
1503754184289624067,2022-03-15 15:25:10+00:00,@LetsTalkMAC I hope it’s Kate.
1503754097526284305,2022-03-15 15:24:49+00:00,@LetsTalkMAC Definitely not would be amazing though
1503753716985475082,2022-03-15 15:23:19+00:00,Maybe one of the characters coming out of the closet is Kate but I'm not holding my breath
1503752701208928259,2022-03-15 15:19:16+00:00,"It's kinda hilarious that MAC is now probably Marvel's most popular lesbian and they refuse to let her date a girl for more than 10 issues. She can have a girlfriend, y'all, I promise it's gonna be fine. https://t.co/fb8m9epeu8"
1503752556195033094,2022-03-15 15:18:42+00:00,@LetsTalkMAC Mhm they never will
1503752336333852676,2022-03-15 15:17:50+00:00,@LetsTalkMAC yes PLEASE.
1503752224551448586,2022-03-15 15:17:23+00:00,"By the way, the Young Avengers coming back is nice, but I'm kind of getting tired of these pride oneshots. Give ongoings. Celebrate us by giving us queer stories all year long"
1503751735826857991,2022-03-15 15:15:26+00:00,Are we placing bets? Cause I'd be down for a confirmation that Kate and Rachel have always been in love twitter.com/LetsTalkMAC/st…
1503750926980505603,2022-03-15 15:12:13+00:00,"""CHAMPIONS scribe Danny Lore revisits the legacy of two characters long left in the closet in a tale of love and redemption""
👀👀👀👀👀"
1503750275353485321,2022-03-15 15:09:38+00:00,@LetsTalkMAC I love them too but hate that America doesn’t have her wrist stars
1503750044394139657,2022-03-15 15:08:43+00:00,Love these covers twitter.com/Marvel/status/…
1503748088049119246,2022-03-15 15:00:57+00:00,Maybe they didn't want to steal Reed Richard's thunder? I feel like you can make both interesting and distinct enough that this shouldnt have to be a problem
1503747862513004555,2022-03-15 15:00:03+00:00,"It's like Marvel didn't trust that Kamala could be interesting enough for the audience with her embiggening which is silly because she is, and she has been for a decade. It's really puzzling"
1503747788710023179,2022-03-15 14:59:45+00:00,@LetsTalkMAC Green Lantern is trending and I'll give you three guesses why.
1503747189364989957,2022-03-15 14:57:22+00:00,"Like, the rest of the trailer looks great, love the style, but that in particular really threw me off"
1503747185644609546,2022-03-15 14:57:21+00:00,"I'm not gonna pretend I'm super invested in Kamala as a character, but what they did to her powers in the trailer feels very weird"
1503107948528218118,2022-03-13 20:37:15+00:00,"@posietoast yeah, it doesn't look like xochitl at all. they used an older actress/model with darker skin on her place, possibly to avoid the criticism they've gotten for the casting. it's very weird and unusual for a promotional material this close to the movie coming out"
1503092965065043970,2022-03-13 19:37:43+00:00,"@LetsTalkMAC wait, im a noob. what did they do? it def doesn’t really look like Xóchitl"
1502461202328440840,2022-03-12 01:47:19+00:00,"To clarify: It's not that she would've been perfect for the role, but that she was a possible option. Marvel has since proven that it doesn't really care about accuracy in terms of race/ethnicity, at least institutionally."
1502440340980174851,2022-03-12 00:24:25+00:00,"That was before we knew they were going teenager for the role. She was early 20ish at the time, so age appropriate"
1502440335808602112,2022-03-12 00:24:24+00:00,Adria Arjona was one of the first actresses I could see actually being cast as America in the MCU over 5 years ago and it's very weird to see her on another Marvel project
1502421422714544130,2022-03-11 23:09:15+00:00,This looks legit twitter.com/Marvel/status/…
1502342416006668291,2022-03-11 17:55:18+00:00,@LetsTalkMAC Are they still her parents? That whole recon and all.
1502340294620106756,2022-03-11 17:46:53+00:00,@dogunderwater Between Thunderbolts and Defenders we are truly being fed 🙏🏽🙏🏽🙏🏽
1502340010460299271,2022-03-11 17:45:45+00:00,@LetsTalkMAC i'm so hype for thiiiissssssss
1502339859532468226,2022-03-11 17:45:09+00:00,@garnet_but_rose Weird choice for sure
1502331717499162629,2022-03-11 17:12:48+00:00,@LetsTalkMAC her shirt…😟
1502330487007858691,2022-03-11 17:07:54+00:00,"Very, uh, telling what they did to America here twitter.com/Marvel/status/…"
1502288015733014531,2022-03-11 14:19:08+00:00,"@LetsTalkMAC Ewing cannot miss 

He just cant miss ever"
1502256962129514499,2022-03-11 12:15:45+00:00,"I checked the tweet announcing Defenders again and I swear every other tweet is some variant of ""I'm so glad Ewing writing ____ again"". He has to be a top 3 writer for the marvel fandom right now, right? Does anybody not like him?"
1502161415573950465,2022-03-11 05:56:04+00:00,@LetsTalkMAC Oh
1502086616692756480,2022-03-11 00:58:51+00:00,@LetsTalkMAC another win for america fans
1502075067634704385,2022-03-11 00:12:57+00:00,@McKelvie I tried Jorts once and it denied me. You can't trust anything these days.
1502074730693767168,2022-03-11 00:11:37+00:00,"Since this is very much cosmic to the extreme, I fully expect America's power to be back to normal btw. Maybe a little bit of a her original backstory too, but I won't push my luck"
1502074470206427156,2022-03-11 00:10:35+00:00,"hang on, wait a minute. America's in a Ewing book again.

Is  Lisa coming back a legit possibility now??????????"
1502063604299968557,2022-03-10 23:27:24+00:00,"I say this all the time because it's my favorite book that she's every been in but now more than ever, please go read Ultimates and Ultimates 2 by Al Ewing. You won't regret it."
1502063601837821955,2022-03-10 23:27:24+00:00,"I can't get over how awesome this is.
Ewing writing America again
America back at being a cosmic hero
America and Adam back together
America and Loki back together
America and Tigra together for the first time

There's not much more we could've asked for twitter.com/Marvel/status/…"
1502050690876813332,2022-03-10 22:36:06+00:00,@LetsTalkMAC @WorldOfTigra In Moon Knight
1502045436210823173,2022-03-10 22:15:13+00:00,"I'll send 50 bucks to Ewing right now if MAC calls Loki ""mom"" on panel"
1502045146220830730,2022-03-10 22:14:04+00:00,Also!!! America and Loki together again!!!! One of her best dynamics is back!!!! Why everything in this book is so exciting!!!!!!
1502044074563588096,2022-03-10 22:09:48+00:00,"I don't love the same costume again, but I'm loving America's look in this. The gloves are a nice touch. https://t.co/lnlo8o0ndo"
1502043779406209029,2022-03-10 22:08:38+00:00,Defenders feels very much like a spiritual successor to Ultimates ngl
1502042871767179266,2022-03-10 22:05:01+00:00,@WorldOfTigra This is so exciting ahfkka I cant wait to see them together
1502042585245921283,2022-03-10 22:03:53+00:00,lol twitter.com/LetsTalkMAC/st…
1502041414338813957,2022-03-10 21:59:14+00:00,"Seriously tho, I love that shes back at being cosmic, I just wonder what could happen between thunderbolts and defenders that  could lead to this, if anything"
1502040368111570947,2022-03-10 21:55:04+00:00,"@LetsTalkMAC wait is this real? That's a new team? and we're getting Tigra and America on a team together?

No take backs?

omg https://t.co/6gRHndivvp"
1502039965957427202,2022-03-10 21:53:29+00:00,@LetsTalkMAC America canon divorce child?
1502039896541827072,2022-03-10 21:53:12+00:00,RIP America Chavez street level hero era (2021 - 2022)
1502039891688914946,2022-03-10 21:53:11+00:00,"@LetsTalkMAC First Thunderbolts and now Defenders,, in this essay I will explain how America Chavez cant be paid to be an Avenger bc her resume is just sooo vast and-"
1502039423155847176,2022-03-10 21:51:19+00:00,@LetsTalkMAC We really eating recently with her MCU debut and 2 new titles with her on the roster 🤌🏻
1502039220906610689,2022-03-10 21:50:31+00:00,I love America Chavez and her two parents https://t.co/yeVkQUXDq3
1502036215582937092,2022-03-10 21:38:34+00:00,@LetsTalkMAC @WorldOfTigra I sent it to her too!!!
1502034409578536962,2022-03-10 21:31:24+00:00,@LetsTalkMAC Heres hoping its gay on her part n good
1502033947873755146,2022-03-10 21:29:34+00:00,@LetsTalkMAC 👀
1502033915518803972,2022-03-10 21:29:26+00:00,@LetsTalkMAC We knew our girl had it in her !! Now the world finally believes us
1502033822631792642,2022-03-10 21:29:04+00:00,"When I told yall being in the MCU was the best thing that could happen to comics MAC, this is what I meant"
1502033598215557122,2022-03-10 21:28:10+00:00,WHERE IS @WorldOfTigra
1502033330644074507,2022-03-10 21:27:07+00:00,@LetsTalkMAC Comic or art?
1502033097306558470,2022-03-10 21:26:11+00:00,EWING AMERICS EWING AMERICA EWING AMERICA
1502032679818178563,2022-03-10 21:24:31+00:00,WHAT twitter.com/Marvel/status/…
1501312737242136576,2022-03-08 21:43:44+00:00,Where's my A-Force ongoing twitter.com/Marvel/status/…
1500668905563426817,2022-03-07 03:05:22+00:00,@LetsTalkMAC Jennifer Walters Obvi
1500667085051023361,2022-03-07 02:58:08+00:00,@PlasticManTalk Good answer
1500666562294001672,2022-03-07 02:56:04+00:00,@LetsTalkMAC Clearly it’s Gwen Stacy
1500666337714229250,2022-03-07 02:55:10+00:00,I assume theres an easy answer here but maybe not?? https://t.co/9naXRRDFdS
